Term,Year,Term/Year Code,Coll,Dept,Degree,Major code,Major Name,Conc code,Concentration Name (if any),Total,Men,Women,Unknown,Caucasian,Asian American,African American,Hispanic,Native American,Hawaiian/Pacific Isl,Multiracial,International,Unknown,All   African American,All    Native American,All Hawaiian/ Pac Isl,All Asian,Illinois,Non-Illinois,Academic Program Code
Spring,2019,120191 ,KL ,538 ,PHD ,0002 ,Animal Sciences ,  ,  ,41,19,22,0,18,1,1,0,0,0,0,21,0,1,0,0,1,12,29,10KS0002PHD
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,130,41,89,0,50,24,7,15,0,0,3,31,0,7,1,1,27,89,41,10KL0038BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KL8037BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,65,16,49,0,29,16,3,6,0,0,2,9,0,3,0,1,18,49,16,10KL0040BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,77,4,73,0,44,10,1,8,0,0,2,12,0,2,1,0,12,61,16,10KL0041BS
Spring,2019,120191 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,47,18,29,0,13,7,7,12,0,0,2,6,0,9,0,1,8,38,9,10KL0042BS
Spring,2019,120191 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,53,13,39,1,36,7,2,4,0,0,2,0,2,2,0,0,10,25,28,10KS0037MSU
Spring,2019,120191 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,19,12,7,0,6,0,0,1,0,0,0,12,0,0,0,0,0,4,15,10KS0037MS
Spring,2019,120191 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,12,2,10,0,6,0,1,0,0,0,0,5,0,1,0,0,0,5,7,10KS0037MS
Spring,2019,120191 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,5166 ,Professional Science Masters ,4,1,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1PKS0037MS
Spring,2019,120191 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,10KS0037PHD
Spring,2019,120191 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0038 ,Food Science ,30,13,17,0,6,1,0,1,0,0,0,21,1,0,0,0,2,5,25,10KS0037PHD
Spring,2019,120191 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,0040 ,Human Nutrition ,14,2,12,0,5,0,0,0,0,0,0,8,1,0,0,0,0,2,12,10KS0037PHD
Spring,2019,120191 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,187,166,21,0,106,13,26,31,0,0,5,6,0,29,2,1,19,174,13,10KL0025BS
Spring,2019,120191 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,2,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,10KL8037BS
Spring,2019,120191 ,KL ,741 ,BSAG ,5163 ,Agricultural & Biological Engr ,  ,  ,75,40,35,0,45,10,1,4,0,0,5,10,0,3,1,1,13,58,17,10KL5163BSAG
Spring,2019,120191 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,  ,  ,3,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10KS0025MS
Spring,2019,120191 ,KL ,741 ,MS ,0025 ,Technical Systems Management ,5166 ,Professional Science Masters ,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1PKS0025MS
Spring,2019,120191 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0049 ,Child and Adolescent Dev ,189,16,173,0,81,18,34,51,0,0,3,0,2,37,5,1,21,185,4,10KL0049BS
Spring,2019,120191 ,KL ,793 ,BS ,0048 ,Human Development & Family St ,0050 ,Family Studies ,58,4,54,0,25,3,14,13,0,0,3,0,0,15,1,0,4,54,4,10KL0050BS
Spring,2019,120191 ,KL ,793 ,PHD ,5577 ,Human Dvlpmt & Family Studies ,  ,  ,24,1,23,0,7,0,3,4,0,0,1,9,0,3,0,0,1,4,20,10KS5577PHD
