term/year_code,coll,dept,degree,major_code,major_name,conc_code,concentration_name_(if_any),total,by_gender_men,by_gender_women,by_gender_unknown,by_self-reported_race/ethnicity_caucasian,by_self-reported_race/ethnicity_asian_american,by_self-reported_race/ethnicity_african_american,by_self-reported_race/ethnicity_hispanic,by_self-reported_race/ethnicity_native_american,by_self-reported_race/ethnicity_international,by_self-reported_race/ethnicity_unknown,by_residency_illinois,by_residency_non-illinois,academic_program_code,term,year,by_self-reported_race/ethnicity_hawaiian/pacific_isl,by_self-reported_race/ethnicity_multiracial,all_students_including_multiracial_and_hispanic_all_african_american,all_students_including_multiracial_and_hispanic_all_native_american,all_students_including_multiracial_and_hispanic_all_hawaiian/_pac_isl,all_students_including_multiracial_and_hispanic_all_asian,by_self-reported_race/ethnicity_all_african_american,by_self-reported_race/ethnicity_all_native_american,urm_urm
120071 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0041 ,Dietetics ,91,3,88,0,81,6,0,2,0,1,1,89,2,10KL0041BS,sp,07,,,,,,,,,
120071 ,KL ,698 ,BS ,0037 ,Food Science & Human Nutrition ,0042 ,Hospitality Management ,85,32,53,0,69,9,0,5,0,2,0,78,7,10KL0042BS,sp,07,,,,,,,,,
120071 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,19,4,15,0,9,1,1,1,0,7,0,10,9,10KS0037MS,sp,07,,,,,,,,,
120071 ,KL ,698 ,MS ,0037 ,Food Science & Human Nutrition ,  ,  ,2,2,0,0,1,1,0,0,0,0,0,2,0,10KS0037MSX,sp,07,,,,,,,,,
120071 ,KL ,698 ,PHD ,0037 ,Food Science & Human Nutrition ,  ,  ,26,10,16,0,6,1,0,0,0,19,0,3,23,10KS0037PHD,sp,07,,,,,,,,,
120071 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,  ,  ,80,76,3,1,68,0,7,3,0,1,1,79,1,10KL0025BS,sp,07,,,,,,,,,
120071 ,KL ,741 ,BS ,0025 ,Technical Systems Management ,0028 ,"Mech, Mrktg & Tech Mgt Sys ",1,0,1,0,1,0,0,0,0,0,0,1,0,10KL0028BS,sp,07,,,,,,,,,
120071 ,KL ,741 ,BSAG ,0029 ,Agr Engineering & Agr Science ,  ,  ,26,22,4,0,24,1,0,1,0,0,0,26,0,10KL0029BSAG,sp,07,,,,,,,,,
120071 ,KL ,741 ,NONE ,0025 ,Technical Systems Management ,  ,  ,13,13,0,0,11,1,0,1,0,0,0,13,0,10KL0025NONE,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0044 ,Agricultural Communications ,24,6,18,0,21,0,3,0,0,0,0,24,0,10KL0044BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0045 ,Environ Educ & Communications ,2,0,2,0,1,0,0,0,0,0,1,2,0,10KL0045BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0046 ,Agricultural Leadership ,7,1,6,0,7,0,0,0,0,0,0,7,0,10KL0046BS,sp,07,,,,,,,,,
120071 ,KL ,793 ,BS ,0043 ,Agr & Environmental Cmc & Educ ,0047 ,Agricultural Education ,24,9,15,0,24,0,0,0,0,0,0,24,0,10KL0047BS,sp,07,,,,,,,,,
